ip_supplier,family,id,2020Bug
2LM COE,2LM-FMHC,1307247317,1
2LM COE,2LM-FMHC,1307317268,1
2LM COE,2LM-FMHC,1507816830,1
2LM COE,2LM-FMHC,14010958661,1
BDC,Dekel,1307431390,1
BDC,Dekel,1307880269,1
BDC,Dekel,1507961575,1
BDC,Dekel,1508072291,1
BDC,Dekel,1508122130,1
BDC,Dekel,1508219395,1
BDC,Dekel,14010929126,1
BDC,Dekel,14011036715,1
BDC,Dekel,14011081131,1
BDC,Dekel,14011251205,1
BDC,Dekel,14011251430,1
BDC,Dekel,14011417147,1
BDC,Dekel,14011574176,1
BDC,Dekel,14011770427,1
BDC,Dekel,14011779560,1
BDC,Dekel,14011982659,1
BDC,Dekel,14012120865,1
BDC,Dekel,14012651967,1
BDC,Dekel,14013003742,1
BDC,Dekel,14013065036,1
BDC,Dekel,16010832485,1
BDC,Dekel,16010835269,1
BDC,Dekel,16010835346,1
BDC,Dekel,16010873112,1
BDC,Dekel,16010946872,1
BDC,Dekel,16010970166,1
BDC,Dekel,16011024045,1
BDC,Dekel,16011030666,1
BDC,Dekel,16011059342,1
BDC,Dekel,16011061333,1
BDC,Dekel,16011128818,1
BDC,Dekel,16011160150,1
BDC,Dekel,16011160346,1
BDC,Dekel,16011162001,1
BDC,Dekel,16011182096,1
BDC,Dekel,16011221730,1
BDC,Dekel,16011302390,1
BDC,Dekel,16011348676,1
BDC,Dekel,16011520568,1
BDC,Dekel,16011521063,1
BDC,Dekel,16011542718,1
BDC,Dekel,16011596826,1
BDC,Dekel,16011596863,1
BDC,Dekel,16011854800,1
BDC,Dekel,16011863525,1
BDC,Dekel,16012217073,1
BDC,Dekel,22010352757,1
BDC,Dekel,22010357799,1
BDC,Dekel,22011141694,1
BDC,Dekel,22011215563,1
BDC,Dekel,22011215574,1
BDC,Dekel,22011529243,1
BDC,Dekel,22011699544,1
BDC,Dekel,22011786036,1
BDC,Display PHY Gen1,1508351026,1
BDC,Display PHY Gen2.5,16011620117,1
BDC,MCDDPHYGen1p14,16011585072,1
BDC,MMP,1507925877,1
BDC,TPG Digital Thermal Sensor,1308242026,1
BDC,TPG Digital Thermal Sensor,1508516597,1
BDC,TPG Digital Thermal Sensor,1508592798,1
BDC,TPG Digital Thermal Sensor,14012381987,1
BDC,TPG Digital Thermal Sensor,14012452061,1
BDC,TPG Digital Thermal Sensor,14012777607,1
BDC,TPG Digital Thermal Sensor,14013003989,1
BDC,TPG Digital Thermal Sensor,16012092478,1
BDC,TPG Digital Thermal Sensor,22011401011,1
BDC,TPG Digital Thermal Sensor,22011547000,1
BDC,TPG GPIO Library,1508365179,1
